id,size,min_moves,total_states,articulation_points,avg_branching,score,manual_score
2swap,16,17,1365,9,3.167765567765568,2.45,2.25
difficult,9,7,240,5,3.8,1.32,1.25
prova,16,5,50792,4,6.63128051661679,1.27,1.25
lewandowski,20,18,314880,6,4.873094512195122,2.43,2.33
cristiano,20,18,11936,14,3.984584450402145,2.69,2.8
messi,24,18,1241888,4,6.4764552036898655,2.32,2.33
a,24,29,278520,6,5.073387907511131,3.26,3.1
d,16,54,4488,32,2.903743315508021,4.35,4.33
c,20,34,6900,33,3.907246376811594,3.76,3.4
b,16,21,833,12,3.162064825930372,2.88,2.9
x,25,32,11803,14,4.124883504193849,3.64,3.4
y,24,15,1403225,1,5.584182151828823,2.27,2.2
z,24,63,2068,45,3.549323017408124,4.26,4.4
e,30,25,271034,3,4.4500837533298405,3.01,3.0
f,30,39,320,10,3.50625,3.49,3.33
a174f499c15ebd280855f2d8edf7703a65943f6cc4a18e200d28652d82b41314,20,15,2057,1,4.701993193971804,2.48,2.8
b2ea7a7fffb65cd00927ff175dbe0820e9ccc6f6dec49d5f900d9f289d8380e6,16,9,738,6,3.794037940379404,1.54,1.66
3e653fd5c15993d490faffd50e442d4e78ae1166524f8c8c22a0edb2c61af1c2,36,76,27381,18,4.1455753989993065,3.94,3.9
f1964b2d4744175b04c5005cefc2c4662c7b801211124b881756a1e8a84c8cf4,20,29,431,5,3.823665893271462,3.66,3.8
82345d3e2e792ef977f3b961f90d4e732a275c218f82d71e203fafa6da932a7a,16,22,390,7,3.753846153846154,2.62,2.8
5414cf3bb6eb6ef233b850b5227666dc57e6e337e06d5b4d21f1055954db7eb8,16,3,12,0,2.833333333333333,1.07,1.0
2608f1dc3a5191430218820279543b7f0e678c5fd01f133df3983eb14b8d079d,30,62,35307,4,4.329339790976293,3.88,4.0
9634595ae04f8f70276c5558bcbe18680702ee2a41582ee3a5b42ab55f04dabc,16,7,1575,6,4.6374603174603175,1.37,1.33
5da098967c3e903fc87402a450199b5174dcc1a71a2370181ebe018f52a0e4fe,20,116,25955,71,3.232363706414949,4.3,4.25
94eb6007ed79b3d8f74b0a282347dcada36877a35dab03e5ba0aa091c19d01a3,16,8,546,3,4.131868131868132,1.35,1.35
8cbabdfab617a61a59550c599a17d95a84ab6ad5d797004326118cfe9fc34ac5,25,44,5148,1,5.966977466977467,3.97,4.33
510ab7b0dbb78922d3a6c8c399f24f0eb8e335a561433f778fa8a1f55da894d4,20,17,10464,8,6.297782874617737,2.34,2.3
3cdca299415077b968d6a86bcc51b413eebaaa2b16d9c1475d24d82cb90d31fb,20,18,39204,8,5.052596673808795,2.36,2.2
ebc25520629f258134d0b19d37dec6d8f1416071ec656ba883cd73b61fa65518,16,31,161,12,3.0559006211180124,4.13,4.65
36454aaf1cfcbf71d11f4ab073112a9cb9ce6427f6397f9cf82d660aaaeaaae1,30,96,32928,24,4.800777453838679,3.81,3.75
0093825c855457012919e04e3de946df052e09ccafed5e6f97c87f1f1fe1cc28,20,45,7328,12,3.620087336244542,4.64,4.8
7b411f3362c3297bbc35e9834ba42c57d7930ee2c221795037b48dba853c30c0,20,28,2998,13,4.348232154769846,4.32,4.75
7f1ded3b1b6676273f64c05de9147c3f40fca42f5dc8e8050ad84fd1c9a19980,20,5,232560,1,13.705263157894738,1.17,1.0
1f7ae9a0d1ea2f6e26b252f0128f798a7922eca67cf1065b9c61df98de223997,30,41,1465,6,4.999317406143344,2.43,1.66
a6552eee0c4a931474f7c9c431c24de44f3f19e3fc50364aa449181df08d7249,25,52,569138,22,5.8676138300377065,4.15,4.25
d6e3e8aeb2c8a6dd9e1bd2bf3b470756bdb43378275167d943c72b9731d9a3f2,36,55,900802,16,4.995492905211134,3.98,4.1
9ca84f2141934700d647b0d13c7c688bf6abe9262ce5186f3bc6ebd3adb7cf01,20,18,1694,4,5.0271546635183,2.41,2.6
f15847df05c62d0d2d79e90182f6c020468abc41fefe3e3696902fb4ced9d2d0,16,4,16,0,3.0,1.07,1.0
alfa,25,32,53076,15,4.692064209812345,3.62,
beta,25,37,52597,14,4.729167062760234,3.64,
prova1,16,33,866,17,3.353348729792148,4.12,
prova3,20,30,9000,13,3.6186666666666665,4.05,
prova2,20,37,3468,24,3.6286043829296415,4.11,
prova5,20,44,2808,21,3.472934472934473,4.4,
prova4,25,44,1494,28,3.6131191432396257,4.07,
test2,30,56,2500004,30,3.355881830589071,4.02,
test3,25,45,437992,11,4.115865129956712,4.02,
walls2,25,44,5262,12,4.397567464842266,4.27,
walls1,30,28,2500009,24,3.0281354987122047,3.66,
steps75,30,87,596782,57,3.7617957646175655,3.93,
gen12,25,47,39307,37,3.756430152390159,4.13,
gen20,25,44,226520,11,4.088133498145859,3.99,
intent02,30,46,1592144,15,4.593162427519119,3.95,
gen10,25,138,11748,72,3.857167177391896,4.09,
sugus01,25,123,222564,55,3.289588612713646,4.15,
rodrigo02,25,62,333540,29,3.496708041014571,4.15,
angel03,30,57,2500001,36,3.319434672226131,4.02,
intent04,25,39,8161,12,4.225462565862027,3.71,
angel02,36,48,2500027,21,3.422572636215529,4.04,
intent03,30,51,519088,21,4.193254322966434,3.99,
rodrigo01,35,56,47950,21,3.359582898852972,4.04,
intent01,30,33,866638,10,4.61472033305717,3.46,
angel01,25,51,75172,15,3.953759378491992,4.07,
